Macrotrends Data Download,,
,,
Japan Life Expectancy 1950-2024,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Life Expectancy from Birth (Years), Annual % Change
12/31/1950,60.64,
12/31/1951,61.36,1.19
12/31/1952,62.08,1.17
12/31/1953,62.8,1.16
12/31/1954,63.52,1.15
12/31/1955,64.24,1.13
12/31/1956,64.96,1.12
12/31/1957,65.68,1.11
12/31/1958,66.4,1.1
12/31/1959,66.952,0.83
12/31/1960,67.504,0.82
12/31/1961,68.056,0.82
12/31/1962,68.608,0.81
12/31/1963,69.16,0.8
12/31/1964,69.61,0.65
12/31/1965,70.06,0.65
12/31/1966,70.51,0.64
12/31/1967,70.96,0.64
12/31/1968,71.41,0.63
12/31/1969,71.784,0.52
12/31/1970,72.158,0.52
12/31/1971,72.532,0.52
12/31/1972,72.906,0.52
12/31/1973,73.28,0.51
12/31/1974,73.704,0.58
12/31/1975,74.128,0.58
12/31/1976,74.552,0.57
12/31/1977,74.976,0.57
12/31/1978,75.4,0.57
12/31/1979,75.722,0.43
12/31/1980,76.044,0.43
12/31/1981,76.366,0.42
12/31/1982,76.688,0.42
12/31/1983,77.01,0.42
12/31/1984,77.314,0.39
12/31/1985,77.618,0.39
12/31/1986,77.922,0.39
12/31/1987,78.226,0.39
12/31/1988,78.53,0.39
12/31/1989,78.708,0.23
12/31/1990,78.886,0.23
12/31/1991,79.064,0.23
12/31/1992,79.242,0.23
12/31/1993,79.42,0.22
12/31/1994,79.638,0.27
12/31/1995,79.856,0.27
12/31/1996,80.074,0.27
12/31/1997,80.292,0.27
12/31/1998,80.51,0.27
12/31/1999,80.768,0.32
12/31/2000,81.026,0.32
12/31/2001,81.284,0.32
12/31/2002,81.542,0.32
12/31/2003,81.8,0.32
12/31/2004,81.97,0.21
12/31/2005,82.14,0.21
12/31/2006,82.31,0.21
12/31/2007,82.48,0.21
12/31/2008,82.65,0.21
12/31/2009,82.784,0.16
12/31/2010,82.918,0.16
12/31/2011,83.052,0.16
12/31/2012,83.186,0.16
12/31/2013,83.32,0.16
12/31/2014,83.542,0.27
12/31/2015,83.764,0.27
12/31/2016,83.986,0.27
12/31/2017,84.208,0.26
12/31/2018,84.43,0.26
12/31/2019,84.55,0.14
12/31/2020,84.67,0.14
12/31/2021,84.79,0.14
12/31/2022,84.91,0.14
12/31/2023,85.03,0.14
12/31/2024,85.148,0.14
12/31/2025,85.266,0.14
12/31/2026,85.384,0.14
12/31/2027,85.502,0.14
12/31/2028,85.62,0.14
12/31/2029,85.738,0.14
12/31/2030,85.856,0.14
12/31/2031,85.974,0.14
12/31/2032,86.092,0.14
12/31/2033,86.21,0.14
12/31/2034,86.326,0.13
12/31/2035,86.442,0.13
12/31/2036,86.558,0.13
12/31/2037,86.674,0.13
12/31/2038,86.79,0.13
12/31/2039,86.906,0.13
12/31/2040,87.022,0.13
12/31/2041,87.138,0.13
12/31/2042,87.254,0.13
12/31/2043,87.37,0.13
12/31/2044,87.484,0.13
12/31/2045,87.598,0.13
12/31/2046,87.712,0.13
12/31/2047,87.826,0.13
12/31/2048,87.94,0.13
12/31/2049,88.056,0.13
12/31/2050,88.172,0.13
12/31/2051,88.288,0.13
12/31/2052,88.404,0.13
12/31/2053,88.52,0.13
12/31/2054,88.63,0.12
12/31/2055,88.74,0.12
12/31/2056,88.85,0.12
12/31/2057,88.96,0.12
12/31/2058,89.07,0.12
12/31/2059,89.182,0.13
12/31/2060,89.294,0.13
12/31/2061,89.406,0.13
12/31/2062,89.518,0.13
12/31/2063,89.63,0.13
12/31/2064,89.742,0.12
12/31/2065,89.854,0.12
12/31/2066,89.966,0.12
12/31/2067,90.078,0.12
12/31/2068,90.19,0.12
12/31/2069,90.3,0.12
12/31/2070,90.41,0.12
12/31/2071,90.52,0.12
12/31/2072,90.63,0.12
12/31/2073,90.74,0.12
12/31/2074,90.85,0.12
12/31/2075,90.96,0.12
12/31/2076,91.07,0.12
12/31/2077,91.18,0.12
12/31/2078,91.29,0.12
12/31/2079,91.4,0.12
12/31/2080,91.51,0.12
12/31/2081,91.62,0.12
12/31/2082,91.73,0.12
12/31/2083,91.84,0.12
12/31/2084,91.952,0.12
12/31/2085,92.064,0.12
12/31/2086,92.176,0.12
12/31/2087,92.288,0.12
12/31/2088,92.4,0.12
12/31/2089,92.51,0.12
12/31/2090,92.62,0.12
12/31/2091,92.73,0.12
12/31/2092,92.84,0.12
12/31/2093,92.95,0.12
12/31/2094,93.06,0.12
12/31/2095,93.17,0.12
12/31/2096,93.28,0.12
12/31/2097,93.39,0.12
12/31/2098,93.5,0.12
12/31/2099,93.61,0.12
12/31/2100,93.72,0.12
